transaction_amount,Basic,Premium,Standard,rolling_avg_3m,rolling_avg_6m,rolling_avg_std_3m,rolling_avg_std_6m,cpi
0.0015654988214207533,-8.354006942626099e-06,0.004827816537042081,0.0035780520433515966,0.011179674598091853,0.012707617918190698,0.020597989545125824,0.054567667323326734,0.08650625944261488
0.0018898933473505486,0.0023820339652995226,0.0016429273602358112,-0.004639615371353341,0.006493801342707425,0.029614375532414427,0.01971894928987571,0.06340165551142983,0.0850182012442618
0.00986815289060087,0.001982215948282152,-0.005529301421564624,-0.011398336499757843,0.019503657738142784,0.007388864896089459,0.0037993833279094487,0.003998562728651002,0.10590902261386859
0.028892359273735273,0.01373221768297576,0.006288837897204396,0.005578311516582929,0.00873773129769731,0.022406406230759218,0.016183641761559155,0.017163759435547894,0.02653895712616036
0.05135494069379792,0.0003639772114790173,0.003743818798689853,0.002014551827117188,0.004258205337253006,0.028488193437280755,0.024682634871770658,0.054104421702003,0.016511478342830885
0.02190521012116892,0.007298607727748396,-0.005340853531112888,-0.0027515229860199998,0.022843843073627537,0.03703384098223419,0.041724132391018576,0.024494912621704903,0.008314051821852473
0.04152852576451082,0.009028902194332878,0.0076411952778344975,0.01337756874547813,0.04341138643262051,0.0383536224733347,0.018115522818134173,0.026079860298727796,-0.02201436178275126
0.04848029797805156,0.027295738866973104,0.0020046622202093433,0.013831886630947301,0.03129000138751822,0.017214327420571156,0.032760702680405804,0.033068961887768596,-0.04042435685022281
0.05433815192286321,0.0023701599563063823,-0.0011699784933971854,0.0032125268545311037,0.021168570994228954,0.0572002348995908,0.036900666847385216,0.03167467715892128,-0.07017278791820769
-0.027993386683648733,-0.00223514447538425,0.007075021416366006,0.008476778981167122,0.002008390852057903,0.024998309168153845,0.008952641432041808,-0.03790637820633769,0.1921459897378061
0.016799626652566662,-0.0018389126025566156,0.00040925348060696676,-0.015153205535368034,0.0072153971538662705,0.023084638905721582,-0.021546814079008162,-0.05910392137107302,0.1256561596174656
-0.05199086346698276,-0.011128468680990274,-0.0174998389334004,0.004155689097239614,-0.029652478849085354,-0.02489534319311324,-0.09203336216776657,-0.14629111182389548,-0.025141999759783516
-0.08401578054380987,-0.011488748173050272,-0.03152666785167011,-0.010002355259035733,-0.07089713647629235,-0.03512404780177752,-0.06885604116046536,-0.17276937358734618,-0.0397976269243312
-0.07250052912792752,-0.010556700942098582,-0.019373847844291147,-0.01176103724281239,-0.015808701034127775,-0.032155222968657346,-0.050662492495668655,-0.18286529520283934,-0.08879395091935598
-0.059309475068604386,0.0010008442874360304,-0.017444587264903163,-0.010950738414661805,-0.07783696412040468,-0.03847058443279334,-0.11213787711398697,-0.23083832335667404,-0.11849007229318534
-0.05842734185851633,-0.057269204089515996,-0.005704145822849789,-0.011659970773021269,-0.0633271866045708,-0.061056142895598665,-0.09126699195516415,-0.1225231718855933,-0.14324362189294734
-0.08010607852552244,-0.004219741594401871,-0.0038760841616083228,-0.00857919509071357,-0.08069440208538901,-0.05045631774020241,-0.12001938079028374,-0.06198015801272471,-0.17454641977693278
-0.008547110423155181,-0.003043214975846174,-0.022329394346658413,-0.009278955708307316,-0.03238778799328138,-0.05357830989333314,-0.0535599753966489,-0.03599185488158921,-0.20576117415895856
